Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,6,3,6,6,65,6,0,0,0.5,6,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionContributionService,0,0,2,0,13,2,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionRankingProvider,0,0,2,0,19,2,0,0,-1.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,2,0,8,5,68,17,1,1,0.75,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,4,0,13,13,89,13,0,0,0.38461538461538464,7,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,4,1,10,7,54,14,0,0,0.4,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitor,2,0,4,4,32,6,0,0,0.5,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,2,0,24,6,363,72,0,0,0.2916666666666667,12,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,2,0,4,3,33,6,0,0,1.0,4,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,15,0,26,19,231,43,0,0,0.2692307692307692,4,5
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,StreamProvider,0,0,2,0,4,2,3,0,-1.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SocketStreamProvider,4,0,4,3,27,6,0,1,0.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,PipeStreamProvider,2,0,4,3,40,6,0,1,0.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,StdIOStreamProvider,0,0,2,2,8,2,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeInputStream,4,0,3,3,34,6,0,0,0.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeOutputStream,3,0,4,4,54,8,0,0,0.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DecompilerResult,3,0,6,6,35,6,0,0,0.0,4,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DependencyUtil,2,2,4,3,41,7,0,0,0.0,7,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DiagnosticsState,2,0,5,5,21,5,0,0,0.4,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DisassemblerContentProvider,2,1,3,3,33,5,0,2,0.6666666666666666,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,9,2,46,45,251,58,0,0,0.4782608695652174,7,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NullBuffer,0,0,20,20,52,20,0,0,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,Environment,0,0,4,4,48,8,0,0,-1.0,3,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,EventNotification,2,0,7,7,39,7,0,0,0.42857142857142855,10,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ExceptionFactory,0,0,3,2,13,3,0,0,-1.0,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ExtensionsExtractor,0,0,2,1,24,3,0,0,-1.0,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,9,0,13,7,208,47,0,0,0.5384615384615384,4,8
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverException,1,0,2,2,9,2,0,0,1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,IConstants,6,6,0,0,27,0,0,0,-1.0,35,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,IContentProvider,0,0,2,0,20,2,1,0,-1.0,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,IDecompiler,0,0,2,1,24,2,3,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,IDelegateCommandHandler,2,0,1,0,22,1,2,0,-1.0,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,IProjectImporter,0,0,6,0,19,6,1,0,-1.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaClientConnection,2,0,23,19,142,25,0,0,0.21739130434782608,47,7
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaLanguageClient,0,0,4,0,18,4,0,0,-1.0,20,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaCodeActionKind,20,20,0,0,86,0,0,0,-1.0,27,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaLanguageServerPlugin,34,18,40,35,428,85,0,0,0.075,225,19
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,0,0,1,1,148,37,0,1,-1.0,0,25
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTEnvironmentUtils,5,5,4,4,37,5,0,0,0.5,6,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,9,3,85,66,1516,314,0,0,0.2,136,10
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassFileVisitor,3,0,7,3,142,41,0,0,0.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,10,9,31,25,235,48,0,0,0.5161290322580645,29,12
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,IJobMatcher,0,0,1,0,3,1,8,0,-1.0,9,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BuildJobMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BuildJobOffMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AutoBuildJobMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ProjectRegistryRefreshJobMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,RepositoryRegistryUpdateJobMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,InitializeJobMatcher,1,1,1,1,6,1,0,1,0.0,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,LoadingGradleVersionJobMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DownloadSourcesJobMatcher,1,1,1,1,6,1,0,1,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JSONUtility,0,0,3,2,37,8,0,0,-1.0,16,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,1,1,13,11,264,60,0,0,0.38461538461538464,8,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,LanguageServerApplication,7,0,10,8,113,17,0,0,0.2,7,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,LanguageServerWorkingCopyOwner,1,0,3,3,24,4,0,0,0.6666666666666666,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,Messages,0,0,3,2,13,3,0,0,-1.0,65,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,MovingAverage,2,1,3,3,31,3,0,0,0.6666666666666666,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ParentProcessWatcher,7,0,4,3,105,15,0,0,0.0,0,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ProgressReport,7,0,14,14,94,14,0,0,0.5,8,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ProjectUtils,4,2,43,38,535,131,0,0,0.3488372093023256,64,17
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ResourceUtils,1,1,26,25,294,62,0,0,0.8846153846153846,71,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,RuntimeEnvironment,5,0,17,17,116,27,0,0,0.11764705882352941,4,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SourceContentProvider,0,0,2,2,33,7,0,2,-1.0,0,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,StatusFactory,1,1,3,2,11,3,0,0,0.6666666666666666,14,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,StatusReport,2,0,6,6,46,6,0,0,0.3333333333333333,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,TextEditConverter,5,0,14,12,194,27,0,0,0.0,6,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporterTest,0,0,2,2,24,3,0,0,-1.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ProjectImporter,0,0,4,4,12,4,0,2,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractWorkspaceTest,0,0,2,2,12,2,1,0,-1.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BundleUtilsTest,1,0,17,13,305,21,0,0,0.23529411764705882,0,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitorTest,1,0,2,2,14,2,0,0,0.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtilTest,2,0,5,5,97,5,0,0,0.4,0,5
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassFileUtil,1,0,3,2,38,5,0,0,0.6666666666666666,13,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassUriExtractor,1,0,1,1,19,3,0,0,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CodeActionUtil,7,4,6,6,71,12,0,0,0.5,35,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactoryTest,0,0,4,3,27,4,0,0,-1.0,0,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,EnvironmentTest,0,0,3,3,18,3,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ExecuteClientCommandTest,2,0,12,8,106,14,0,0,0.25,1,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SyncHandler,0,0,1,0,3,1,0,0,-1.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,FakeContentProvider,2,2,3,3,20,5,0,2,0.6666666666666666,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaLanguageServerTestPlugin,2,1,2,2,19,2,0,0,1.0,4,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaProjectHelper,0,0,4,4,61,10,0,0,-1.0,4,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtilsTest,0,0,15,13,160,16,0,1,-1.0,0,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtilsTestParametrized,3,0,3,3,18,3,0,0,0.6666666666666666,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JsonMessageHelper,1,0,2,1,27,2,0,0,1.0,7,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JSONUtilityTest,0,0,4,4,23,4,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfiguratorTest,4,0,10,8,167,13,0,0,0.2,0,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,Lsp4jAssertions,0,0,4,3,23,4,0,0,-1.0,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,MovingAverageTest,0,0,1,1,10,1,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ProjectUtilsTest,0,0,6,6,39,6,0,0,-1.0,0,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ResourceUtilsTest,0,0,3,3,35,4,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SendNotificationTest,3,0,7,7,79,8,0,0,0.2857142857142857,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SimpleLogListener,1,0,8,7,33,9,0,0,0.25,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,StatusFactoryTest,0,0,2,2,14,2,0,0,-1.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,TestDelegateCommandHandlerFactory,1,0,3,3,17,4,0,0,1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,TestCommandHandler,1,0,2,2,12,3,0,1,1.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,TestVMType,3,1,8,7,50,10,0,0,0.875,9,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,TestVMInstall,1,0,3,3,20,3,0,0,0.6666666666666666,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,TextEditUtil,0,0,9,7,86,33,0,0,-1.0,11,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,Util,0,0,2,1,23,6,0,0,-1.0,4,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,WorkspaceHelper,3,0,13,10,211,43,0,0,0.23076923076923078,52,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaSyntaxServerTestPlugin,1,1,2,2,12,2,0,0,1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SimpleLogListener,1,0,8,7,33,9,0,0,0.75,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,AddDeprecatedAnnotationCleanUp,1,0,3,3,15,3,0,1,1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,AddOverrideAnnotationCleanUp,1,0,3,3,15,3,0,1,1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,CleanUpRegistry,1,0,2,2,69,11,0,0,0.0,1,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,CleanUpUtils,0,0,4,3,51,5,0,0,-1.0,2,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,InstanceofPatternMatch,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,InvertEqualsCleanUp,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,ISimpleCleanUp,0,0,3,0,21,3,12,0,-1.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,LambdaExpressionAndMethodRefCleanUp,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,LambdaExpressionCleanup,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,MemberAccessUsesThisCleanUp,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,StaticAccessUsesClassNameCleanUp,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,StringConcatToTextBlockCleanUp,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,SwitchExpressionCleanup,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,TryWithResourceCleanUp,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.cleanup,VariableDeclarationFixCleanup,0,0,3,3,18,4,0,1,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,DefaultJavaElementComparator,2,0,7,2,103,30,0,0,0.0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,GenerateGetterSetterOperation,10,5,9,7,149,33,0,0,0.0,4,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,AccessorField,5,5,1,1,14,1,0,0,0.0,5,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,OverrideMethodsOperation,6,6,10,5,154,30,0,0,0.2,3,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,OverridableMethod,6,6,2,2,19,2,0,0,1.0,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,PartialSortMembersOperation,3,1,16,12,161,47,0,0,0.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,AbstractSourceTestCase,5,0,3,2,74,9,2,0,0.6666666666666666,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,GenerateGetterAndSetterTest,0,0,22,16,198,22,0,1,-1.0,0,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,ImportOrganizeTest,5,0,13,7,225,25,0,0,0.23076923076923078,0,5
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.codemanipulation,OverrideMethodsTestCase,5,0,20,11,272,31,0,1,0.1,0,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,BuildPathCommand,10,9,14,4,213,35,0,0,0.21428571428571427,4,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,Result,3,3,1,0,9,1,1,0,0.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,ListCommandResult,1,1,2,0,11,2,0,1,0.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,SourcePath,5,5,1,0,14,1,0,0,0.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,DiagnosticsCommand,0,0,8,5,79,19,0,0,-1.0,4,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,OrganizeImportsCommand,0,0,10,6,179,46,0,0,-1.0,4,11
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,ProjectCommand,12,11,18,13,301,59,0,0,0.4444444444444444,5,7
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,ClasspathOptions,1,1,0,0,3,0,0,0,-1.0,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,ClasspathResult,3,3,1,1,10,1,0,0,0.0,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,GetAllProjectOptions,1,1,0,0,3,0,0,0,-1.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,JdkUpdateResult,2,2,1,1,8,1,0,0,0.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,SourceAttachmentCommand,13,8,25,14,298,52,0,0,0.12,4,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,UpdatedClasspathContainer,2,0,5,5,20,5,0,0,0.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,ClasspathEntryWrapper,3,0,1,1,10,1,0,0,0.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,SourceAttachmentRequest,2,2,1,1,8,1,0,0,0.0,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,SourceAttachmentResult,2,2,1,1,8,1,0,0,0.0,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,SourceAttachmentAttribute,4,4,2,2,15,2,0,0,0.0,5,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,TypeHierarchyCommand,0,0,9,2,231,49,0,0,-1.0,3,8
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,VmCommand,5,5,3,2,34,6,0,0,1.0,3,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,VmInstall,4,4,1,1,11,1,0,0,0.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,BuildPathCommandTest,0,0,4,4,91,4,0,0,-1.0,0,11
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,DiagnosticsCommandTest,4,0,8,4,95,9,0,0,0.0,0,8
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,OrganizeImportsCommandTest,3,0,15,14,374,16,0,0,0.26666666666666666,0,6
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,ProjectCommandTest,1,0,23,21,264,29,0,0,0.8695652173913043,0,9
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,SourceAttachmentCommandTest,2,0,9,9,101,13,0,0,0.3333333333333333,0,6
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,TypeHierarchyCommandTest,2,0,6,6,125,8,0,0,0.0,0,5
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.commands,VmCommandTest,0,0,1,1,7,1,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,AnonymousTypeCompletionProposal,3,0,2,2,39,6,0,0,0.0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,ChainCompletionProposalComputer,7,0,25,5,403,87,0,0,0.08,2,5
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,CompletionProposalDescriptionProvider,6,0,31,5,633,128,0,0,0.0,3,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,CompletionProposalReplacementProvider,17,0,37,4,870,185,0,0,0.0,3,16
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,CompletionProposalRequestor,15,1,29,16,561,169,0,0,0.13793103448275862,7,15
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,ProposalComparator,1,0,3,1,39,9,0,0,0.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,CompletionProposalUtils,1,0,4,3,43,7,0,0,1.0,6,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,GetterSetterCompletionProposal,2,0,4,3,88,15,0,0,0.5,3,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,JavadocCompletionProposal,3,1,11,1,245,53,0,0,0.0,1,6
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,OverrideCompletionProposal,5,0,4,2,103,12,0,0,0.0,2,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,ParameterGuesser,15,12,14,6,295,55,0,0,0.14285714285714285,3,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,Variable,12,12,2,2,35,2,0,0,0.0,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,MatchComparator,1,0,3,1,27,4,0,0,0.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SignatureHelpRequestor,8,0,11,9,192,39,0,0,0.0,2,6
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SnippetCompletionProposal,15,0,27,5,563,108,0,0,0.0,3,16
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SnippetCompletionContext,5,0,7,0,97,25,0,0,0.0,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SnippetUtils,3,0,3,2,32,4,0,0,1.0,5,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SortTextHelper,2,2,3,2,55,19,0,0,0.6666666666666666,7,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,TypeFilter,2,1,13,12,104,26,0,0,0.0,6,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,TypeProposalUtils,1,0,11,0,141,33,0,0,0.5454545454545454,2,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SnippetUtilsTest,2,0,7,7,61,7,0,0,0.0,0,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.contentassist,SortTextHelperTest,0,0,1,1,30,3,0,0,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring,AbstractJavaElementRenameChange,4,0,12,4,55,13,0,0,0.16666666666666666,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring,ChangeMethodSignatureRefactoringContribution,0,0,3,3,17,3,0,0,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring,RefactoringAvailabilityTester,0,0,64,62,823,267,0,0,-1.0,16,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring,RefactoringCoreMessages,8,7,1,0,15,1,0,0,0.0,20,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,AbstractDeleteChange,0,0,3,1,21,4,2,0,-1.0,0,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,ClasspathChange,3,0,8,7,64,12,0,0,0.375,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,CompilationUnitReorgChange,4,0,13,7,69,16,2,0,0.23076923076923078,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,CopyCompilationUnitChange,0,0,3,2,13,3,0,1,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,CopyPackageChange,0,0,3,2,14,3,0,1,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,CopyPackageFragmentRootChange,0,0,3,2,14,3,0,1,-1.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,CopyResourceChange,3,0,11,3,96,20,0,0,0.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,DeletePackageFragmentRootChange,2,0,9,3,109,17,0,1,0.0,1,5
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,DeleteSourceManipulationChange,1,0,8,3,67,14,0,1,0.0,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,MoveCompilationUnitChange,3,0,5,2,81,16,0,1,0.4,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,MovePackageChange,0,0,3,2,14,3,0,1,-1.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,MovePackageFragmentRootChange,0,0,3,2,14,3,0,1,-1.0,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,PackageFragmentRootReorgChange,4,0,12,7,100,21,2,0,0.16666666666666666,0,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,PackageReorgChange,3,0,9,5,54,12,2,0,0.0,0,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,RenameCompilationUnitChange,0,0,6,2,32,8,0,0,-1.0,3,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.changes,RenamePackageChange,2,0,16,5,166,36,0,0,0.1875,3,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal.corext.refactoring.code,ExceptionAnalyzer,0,0,6,5,34,9,0,0,-1.0,1,0
